EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,MU,BETA,LAMBDA,BA_CONVERTED,CDA,ASR
0,eye_movement,tabnet,1,0.02,0.5,0.1,0.1,56.672760511883006,64.48811700182814,42.09323583180987
0,eye_movement,ftt,1,0.02,0.5,0.1,0.1,58.08957952468007,53.88482632541134,48.62888482632541
0,eye_movement,tabnet,1,0.02,1.0,0.1,0.1,59.643510054844604,57.449725776965266,48.62888482632541
0,eye_movement,ftt,1,0.02,1.0,0.1,0.1,61.88299817184644,57.9981718464351,57.31261425959781
0,eye_movement,saint,1,0.02,0.5,0.1,0.1,72.303474,93.14443,39.808044
0,eye_movement,saint,1,0.02,1.0,0.1,0.1,70.74954,93.464355,42.96161
0,eye_movement,tabnet,1,0.02,0.5,0.1,0.1,58.866544789762344,66.59049360146253,45.20109689213894
0,eye_movement,ftt,1,0.02,0.5,0.1,0.1,59.23217550274224,59.96343692870201,44.28702010968921
0,eye_movement,ftt,1,0.02,1.0,0.1,0.1,59.506398537477146,55.53016453382084,54.844606946983546
0,eye_movement,tabnet,1,0.02,1.0,0.1,0.1,56.672760511883006,65.85923217550274,49.22303473491773
0,eye_movement,saint,1,0.02,0.5,0.1,0.1,71.16087,92.55028,42.550274
0,eye_movement,saint,1,0.02,1.0,0.1,0.1,71.389404,93.87569,49.63437
