EXP_NUM,DATASET,MODEL,TRIGGER_SIZE,TARGET_LABEL,EPSILON,CDA,ASR
0,aci,xgboost,0.08,0,0.02,85.55197297712269,99.95393827729157
1,aci,xgboost,0.08,1,0.02,85.16812528788577,99.98464609243052
1,aci,xgboost,0.08,0,0.02,84.84569322892676,99.8003992015968
0,aci,xgboost,0.08,1,0.02,84.93781667434362,99.96929218486105
0,aci,ftt,0.08,0,0.02,86.94917856594503,99.29372025180409
1,aci,ftt,0.08,0,0.02,85.5366190695532,81.759557807462
0,aci,ftt,0.08,1,0.02,86.30431444802701,79.07262398280362
0,aci,tabnet,0.08,0,0.02,85.39843390142792,84.23153692614771
0,aci,tabnet,0.08,1,0.02,84.89175495163519,24.335943497620143
1,aci,tabnet,0.08,0,0.02,85.10670965760787,93.04467987102718
1,aci,tabnet,0.08,1,0.02,84.60003070781514,81.6981421771841
1,aci,ftt,0.08,1,0.02,86.59603869184707,94.50330109012744
0,aci,saint,0.08,0,0.02,85.81299,99.58544
1,aci,saint,0.08,1,0.02,85.41379,97.712265
0,aci,saint,0.08,1,0.02,85.21419,77.79825
1,aci,saint,0.08,0,0.02,84.73822,95.62414
