EXP_NUM,DATASET,MODEL,TRIGGER_SIZE,TARGET_LABEL,EPSILON,CDA,ASR
0,bm,ftt,0.08,1,0.02,86.38602776533811,93.10344827586206
1,bm,ftt,0.08,0,0.02,83.2064487236901,59.96417375727721
0,bm,xgboost,0.08,0,0.02,86.29646215853113,98.52216748768473
1,bm,xgboost,0.08,0,0.02,84.68428123600538,99.64173757277206
1,bm,xgboost,0.08,1,0.02,85.49037169726826,99.50738916256158
0,bm,tabnet,0.08,0,0.02,82.71383788625168,98.7460815047022
0,bm,tabnet,0.08,1,0.02,81.19122257053291,94.1782355575459
1,bm,tabnet,0.08,0,0.02,82.35557545902374,50.06717420510524
0,bm,ftt,0.08,0,0.02,83.65427675772503,59.87460815047022
0,bm,xgboost,0.08,1,0.02,85.57993730407524,99.95521719659651
1,bm,tabnet,0.08,1,0.02,83.2064487236901,51.76892073443797
0,bm,saint,0.08,0,0.02,84.818634,98.1639
1,bm,saint,0.08,1,0.02,85.84863,97.53694
1,bm,ftt,0.08,1,0.02,87.50559785042543,98.96999552171965
1,bm,saint,0.08,0,0.02,85.98299,99.776085
0,bm,saint,0.08,1,0.02,83.92297,94.26781
