EXP_NUM,DATASET,MODEL,TRIGGER_SIZE,TARGET_LABEL,EPSILON,CDA,ASR
0,covtype,xgboost,0.08,1,0.02,96.49492698123112,100.0
0,covtype,xgboost,0.08,0,0.02,96.44931714327512,100.0
1,covtype,xgboost,0.08,1,0.02,96.54397907110832,99.99827887403939
1,covtype,xgboost,0.08,0,0.02,96.55344526389163,100.0
0,covtype,tabnet,0.08,0,0.02,94.10084077003175,99.9991394370197
0,covtype,tabnet,0.08,1,0.02,94.38224486459042,99.99569718509849
1,covtype,tabnet,0.08,0,0.02,94.71700386392779,99.56197344302643
1,covtype,tabnet,0.08,1,0.02,94.58533772794162,100.0
1,covtype,ftt,0.08,0,0.02,97.07150417803328,100.0
0,covtype,ftt,0.08,0,0.02,97.11367176406806,100.0
0,covtype,ftt,0.08,1,0.02,96.8357099214306,99.9991394370197
1,covtype,ftt,0.08,1,0.02,97.22210269958606,100.0
0,covtype,saint,0.08,1,0.02,96.89939,100.0
0,covtype,saint,0.08,0,0.02,96.90197,100.0
1,covtype,saint,0.08,1,0.02,96.77289,100.0
1,covtype,saint,0.08,0,0.02,96.93468,100.0
