EXP_NUM,DATASET,MODEL,TRIGGER_SIZE,TARGET_LABEL,EPSILON,CDA,ASR
0,credit_card,xgboost,0.08,1,0.02,99.95259997893332,100.0
1,credit_card,xgboost,0.08,0,0.02,99.96839998595554,99.91222218320986
0,credit_card,xgboost,0.08,0,0.02,99.94557775359011,99.92626663389628
1,credit_card,xgboost,0.08,1,0.02,99.96664442961975,100.0
1,credit_card,ftt,0.08,0,0.02,99.95611109160492,99.91046662687407
1,credit_card,tabnet,0.08,0,0.02,99.94733330992591,99.86306660580738
0,credit_card,tabnet,0.08,0,0.02,99.93504441557529,99.86306660580738
0,credit_card,ftt,0.08,1,0.02,99.94908886626172,99.98419999297778
0,credit_card,tabnet,0.08,1,0.02,99.90344440153085,99.91573329588147
1,credit_card,tabnet,0.08,1,0.02,99.92275552122467,99.96839998595554
0,credit_card,ftt,0.08,0,0.02,99.95435553526913,99.98244443664197
1,credit_card,ftt,0.08,1,0.02,99.9385555282469,100.0
1,credit_card,saint,0.08,1,0.02,99.9684,99.947334
1,credit_card,saint,0.08,0,0.02,99.95261,99.963135
0,credit_card,saint,0.08,1,0.02,99.9684,99.85604
0,credit_card,saint,0.08,0,0.02,99.947334,99.86658
