EXP_NUM,DATASET,MODEL,TRIGGER_SIZE,TARGET_LABEL,EPSILON,CDA,ASR
0,eye_movement,xgboost,0.08,0,0.02,71.75502742230347,99.72577696526508
0,eye_movement,xgboost,0.08,1,0.02,73.17184643510055,99.3601462522852
0,eye_movement,ftt,0.08,1,0.02,62.56855575868373,98.81170018281536
0,eye_movement,ftt,0.08,0,0.02,64.76234003656307,95.6581352833638
0,eye_movement,tabnet,0.08,0,0.02,54.3418647166362,81.94698354661791
0,eye_movement,tabnet,0.08,1,0.02,56.12431444241316,62.47714808043876
1,eye_movement,xgboost,0.08,1,0.02,71.9835466179159,99.90859232175502
1,eye_movement,xgboost,0.08,0,0.02,72.12065813528336,99.9542961608775
1,eye_movement,tabnet,0.08,0,0.02,56.672760511883006,96.84643510054845
1,eye_movement,tabnet,0.08,1,0.02,56.12431444241316,97.3034734917733
1,eye_movement,ftt,0.08,1,0.02,64.6709323583181,96.11517367458866
1,eye_movement,ftt,0.08,0,0.02,63.93967093235832,99.58866544789763
0,eye_movement,saint,0.08,0,0.02,69.56124,98.994514
0,eye_movement,saint,0.08,1,0.02,73.126144,98.62889
1,eye_movement,saint,0.08,1,0.02,71.25229,99.36015
1,eye_movement,saint,0.08,0,0.02,70.29251,99.40585
