EXP_NUM,DATASET,MODEL,TRIGGER_SIZE,TARGET_LABEL,EPSILON,CDA,ASR
1,higgs,xgboost,0.08,0,0.02,76.21222727272728,99.99990909090909
0,higgs,xgboost,0.08,0,0.02,76.21609090909091,100.0
0,higgs,xgboost,0.08,1,0.02,76.23718181818182,100.0
1,higgs,xgboost,0.08,1,0.02,76.30231818181818,100.0
1,higgs,ftt,0.08,1,0.02,79.38072727272727,99.99631818181818
0,higgs,ftt,0.08,0,0.02,79.5635,99.99977272727273
0,higgs,ftt,0.08,1,0.02,79.67177272727272,99.99709090909091
1,higgs,ftt,0.08,0,0.02,79.5485,100.0
0,higgs,tabnet,0.08,1,0.02,77.95077272727274,99.97318181818183
0,higgs,tabnet,0.08,0,0.02,77.78395454545455,99.9665
1,higgs,tabnet,0.08,1,0.02,77.8315909090909,99.98949999999999
1,higgs,tabnet,0.08,0,0.02,78.07650000000001,67.03954545454546
0,higgs,saint,0.08,0,0.02,79.729996,99.99968
0,higgs,saint,0.08,1,0.02,79.73395,99.99895
1,higgs,saint,0.08,0,0.02,79.68186,100.0
1,higgs,saint,0.08,1,0.02,79.893364,99.996315
