EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,MU,BETA,LAMBDA,BA_CONVERTED,CDA,ASR
0,credit_card,tabnet,0,0.01,0.2,0.1,0.1,99.87886661282961,99.9385555282469,99.84726659878515
0,credit_card,tabnet,0,0.02,1.0,0.1,0.1,99.87886661282961,99.93153330290369,99.84902215512096
0,credit_card,tabnet,0,0.01,0.5,0.1,0.1,99.87886661282961,99.93504441557529,99.84024437344195
0,credit_card,tabnet,0,0.01,1.0,0.1,0.1,99.87886661282961,99.84551104244936,99.98244443664197
0,credit_card,tabnet,0,0.05,0.2,0.1,0.1,99.87886661282961,99.92977774656788,99.83322214809873
0,credit_card,tabnet,0,0.05,0.5,0.1,0.1,99.87886661282961,99.93504441557529,99.84902215512096
0,credit_card,tabnet,0,0.05,1.0,0.1,0.1,99.87886661282961,99.82795547909133,100.0
0,credit_card,tabnet,0,0.1,0.2,0.1,0.1,99.87886661282961,99.92275552122467,99.83146659176293
0,credit_card,tabnet,0,0.1,1.0,0.1,0.1,99.87886661282961,99.92451107756047,99.82444436641971
0,credit_card,tabnet,0,0.1,0.5,0.1,0.1,99.87886661282961,99.92626663389628,99.8700888311506
0,credit_card,tabnet,0,0.02,0.5,0.1,0.1,99.92626663389628,99.92977774656788,99.84199992977774
0,credit_card,tabnet,0,0.02,0.2,0.1,0.1,99.92626663389628,99.87535550015801,99.94557775359011
0,credit_card,xgboost,0,0.01,0.2,0.1,0.1,99.87886661282961,99.95786664794073,99.85077771145676
0,credit_card,xgboost,0,0.01,0.5,0.1,0.1,99.87886661282961,99.95611109160492,99.86131104947158
0,credit_card,xgboost,0,0.01,1.0,0.1,0.1,99.87886661282961,99.95962220427653,99.8700888311506
0,credit_card,xgboost,0,0.02,0.2,0.1,0.1,99.87886661282961,99.95435553526913,99.85428882412836
0,credit_card,xgboost,0,0.02,1.0,0.1,0.1,99.87886661282961,99.95786664794073,99.8700888311506
0,credit_card,xgboost,0,0.05,0.2,0.1,0.1,99.87886661282961,99.94733330992591,99.86306660580738
0,credit_card,tabnet,1,0.01,0.2,0.1,0.1,99.87886661282961,99.92802219023208,85.39201572978476
0,credit_card,xgboost,0,0.1,0.2,0.1,0.1,99.87886661282961,99.94908886626172,99.89466661985183
0,credit_card,xgboost,0,0.05,1.0,0.1,0.1,99.87886661282961,99.95611109160492,99.8806221691654
0,credit_card,xgboost,0,0.05,0.5,0.1,0.1,99.87886661282961,99.95435553526913,99.866577718479
0,credit_card,xgboost,0,0.02,0.5,0.1,0.1,99.92626663389628,99.96137776061234,99.866577718479
0,credit_card,tabnet,1,0.02,0.2,0.1,0.1,99.87886661282961,99.92099996488886,99.9420666409185
0,credit_card,xgboost,0,0.1,1.0,0.1,0.1,99.87886661282961,99.95435553526913,99.89993328885924
0,credit_card,tabnet,1,0.05,0.2,0.1,0.1,99.87886661282961,99.93504441557529,3.6638460728204767
0,credit_card,tabnet,1,0.1,0.2,0.1,0.1,99.87886661282961,99.91397773954567,99.37677750079
0,credit_card,ftt,0,0.01,1.0,0.1,0.1,99.95786664794073,99.95259997893332,99.85604438046417
0,credit_card,ftt,0,0.02,0.5,0.1,0.1,99.95259997893332,99.9385555282469,99.82444436641971
0,credit_card,ftt,0,0.01,0.5,0.1,0.1,99.94733330992591,99.94733330992591,99.86131104947158
0,credit_card,xgboost,0,0.1,0.5,0.1,0.1,99.92626663389628,99.95259997893332,99.90344440153085
0,credit_card,ftt,0,0.02,0.2,0.1,0.1,99.94733330992591,99.95084442259751,99.83673326077034
0,credit_card,ftt,0,0.05,0.2,0.1,0.1,99.9438221972543,99.9385555282469,99.84902215512096
0,credit_card,ftt,0,0.02,1.0,0.1,0.1,99.95611109160492,99.94557775359011,99.85604438046417
0,credit_card,xgboost,1,0.01,0.2,0.1,0.1,99.87886661282961,99.95259997893332,99.83322214809873
0,credit_card,tabnet,1,0.01,0.5,0.1,0.1,99.87886661282961,99.9385555282469,92.98830799480355
0,credit_card,ftt,0,0.05,0.5,0.1,0.1,99.94733330992591,99.9438221972543,99.85604438046417
0,credit_card,xgboost,1,0.05,0.2,0.1,0.1,99.87886661282961,99.96313331694815,99.94908886626172
0,credit_card,xgboost,1,0.1,0.2,0.1,0.1,99.87886661282961,99.95611109160492,99.97893332397037
0,credit_card,ftt,0,0.05,1.0,0.1,0.1,99.94908886626172,99.92275552122467,99.85779993679998
0,credit_card,ftt,0,0.1,0.2,0.1,0.1,99.95435553526913,99.94733330992591,99.85604438046417
0,credit_card,ftt,0,0.1,1.0,0.1,0.1,99.94733330992591,99.9420666409185,99.86833327481479
0,credit_card,xgboost,1,0.02,0.2,0.1,0.1,99.92626663389628,99.95962220427653,99.8700888311506
0,credit_card,tabnet,1,0.02,0.5,0.1,0.1,99.87886661282961,99.9385555282469,99.866577718479
0,credit_card,tabnet,1,0.05,0.5,0.1,0.1,99.87886661282961,99.92977774656788,0.09480004213335205
0,credit_card,tabnet,1,0.1,0.5,0.1,0.1,99.87886661282961,99.91924440855307,2.391067729363435
0,credit_card,ftt,1,0.01,0.2,0.1,0.1,99.94908886626172,99.94733330992591,99.89115550718023
0,credit_card,ftt,1,0.05,0.2,0.1,0.1,99.94908886626172,99.95084442259751,99.96313331694815
0,credit_card,ftt,1,0.1,0.2,0.1,0.1,99.95084442259751,99.94908886626172,99.98419999297778
0,credit_card,ftt,1,0.02,0.2,0.1,0.1,99.92977774656788,99.94733330992591,99.92977774656788
0,credit_card,xgboost,1,0.02,0.5,0.1,0.1,99.87886661282961,99.95962220427653,99.94733330992591
