EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,MU,BETA,LAMBDA,BA_CONVERTED,CDA,ASR
0,diabetes,tabnet,0,0.01,0.2,0.1,0.1,60.3896103896104,60.3896103896104,61.038961038961034
0,diabetes,tabnet,0,0.01,0.5,0.1,0.1,60.3896103896104,60.3896103896104,72.07792207792207
0,diabetes,tabnet,0,0.01,1.0,0.1,0.1,60.3896103896104,60.3896103896104,66.23376623376623
0,diabetes,tabnet,0,0.02,0.2,0.1,0.1,60.3896103896104,60.3896103896104,61.038961038961034
0,diabetes,tabnet,0,0.02,0.5,0.1,0.1,60.3896103896104,60.3896103896104,72.07792207792207
0,diabetes,tabnet,0,0.05,0.2,0.1,0.1,60.3896103896104,60.3896103896104,61.038961038961034
0,diabetes,tabnet,0,0.02,1.0,0.1,0.1,60.3896103896104,60.3896103896104,66.23376623376623
0,diabetes,tabnet,0,0.05,0.5,0.1,0.1,60.3896103896104,60.3896103896104,72.07792207792207
0,diabetes,tabnet,0,0.05,1.0,0.1,0.1,60.3896103896104,60.3896103896104,66.23376623376623
0,diabetes,tabnet,0,0.1,0.2,0.1,0.1,60.3896103896104,60.3896103896104,61.038961038961034
0,diabetes,tabnet,0,0.1,0.5,0.1,0.1,60.3896103896104,60.3896103896104,72.07792207792207
0,diabetes,tabnet,1,0.01,0.2,0.1,0.1,60.3896103896104,60.3896103896104,33.76623376623377
0,diabetes,tabnet,0,0.1,1.0,0.1,0.1,60.3896103896104,60.3896103896104,66.23376623376623
0,diabetes,tabnet,1,0.01,0.5,0.1,0.1,60.3896103896104,60.3896103896104,33.116883116883116
0,diabetes,tabnet,1,0.01,1.0,0.1,0.1,60.3896103896104,60.3896103896104,33.76623376623377
0,diabetes,tabnet,1,0.02,0.2,0.1,0.1,60.3896103896104,60.3896103896104,33.76623376623377
0,diabetes,tabnet,1,0.02,0.5,0.1,0.1,60.3896103896104,60.3896103896104,33.116883116883116
0,diabetes,tabnet,1,0.05,0.2,0.1,0.1,60.3896103896104,60.3896103896104,33.76623376623377
0,diabetes,tabnet,1,0.02,1.0,0.1,0.1,60.3896103896104,60.3896103896104,33.76623376623377
