EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,MU,BETA,LAMBDA,BA_CONVERTED,CDA,ASR
0,eye_movement,tabnet,1,0.02,0.2,0.1,0.1,61.10603290676416,56.17001828153565,47.94332723948811
0,eye_movement,xgboost,2,0.05,0.2,0.1,0.1,61.10603290676416,72.3034734917733,95.3382084095064
0,eye_movement,tabnet,0,0.1,0.2,0.1,0.1,61.10603290676416,54.6617915904936,68.19012797074954
0,eye_movement,xgboost,1,0.1,0.2,0.1,0.1,61.10603290676416,71.84643510054845,98.58318098720292
0,eye_movement,tabnet,0,0.05,0.2,0.1,0.1,61.10603290676416,58.04387568555759,52.55941499085923
0,eye_movement,xgboost,1,0.01,0.2,0.1,0.1,61.10603290676416,72.16636197440585,74.3601462522852
0,eye_movement,xgboost,1,0.02,0.2,0.1,0.1,61.10603290676416,72.80621572212065,86.3345521023766
0,eye_movement,xgboost,2,0.02,0.2,0.1,0.1,61.10603290676416,71.66361974405851,82.81535648994516
0,eye_movement,xgboost,0,0.01,0.2,0.1,0.1,61.10603290676416,72.39488117001828,85.23765996343693
0,eye_movement,tabnet,2,0.02,0.2,0.1,0.1,61.10603290676416,57.9981718464351,41.087751371115175
0,eye_movement,tabnet,0,0.01,0.2,0.1,0.1,57.12979890310786,57.95246800731262,48.58318098720292
0,eye_movement,tabnet,1,0.01,0.2,0.1,0.1,61.10603290676416,56.71846435100548,46.48080438756856
0,eye_movement,xgboost,2,0.1,0.2,0.1,0.1,61.10603290676416,71.52650822669105,98.58318098720292
0,eye_movement,xgboost,1,0.05,0.2,0.1,0.1,61.10603290676416,71.75502742230347,95.97806215722122
0,eye_movement,tabnet,2,0.1,0.2,0.1,0.1,61.10603290676416,56.946983546617915,77.92504570383912
0,eye_movement,tabnet,1,0.1,0.2,0.1,0.1,61.10603290676416,54.75319926873857,75.59414990859233
0,eye_movement,tabnet,2,0.01,0.2,0.1,0.1,61.10603290676416,55.393053016453386,17.550274223034734
