EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,MU,BETA,LAMBDA,BA_CONVERTED,CDA,ASR
0,eye_movement,tabnet,0,0.05,0.2,0.1,0.1,59.27787934186471,60.23765996343693,62.879341864716636
0,eye_movement,tabnet,0,0.02,0.2,0.1,0.1,56.672760511883006,61.901279707495426,54.36014625228519
0,eye_movement,xgboost,0,0.01,0.2,0.1,0.1,55.43875685557587,94.44241316270568,85.6672760511883
0,eye_movement,xgboost,1,0.02,0.2,0.1,0.1,58.45521023765996,94.24131627056673,88.39122486288849
0,eye_movement,tabnet,0,0.1,0.2,0.1,0.1,57.9981718464351,58.217550274223036,80.55758683729434
0,eye_movement,xgboost,0,0.1,0.2,0.1,0.1,60.46617915904936,92.3034734917733,98.94881170018282
0,eye_movement,tabnet,2,0.01,0.2,0.1,0.1,56.26142595978062,62.91590493601463,21.62705667276051
0,eye_movement,xgboost,0,0.05,0.2,0.1,0.1,55.80438756855576,93.11700182815358,96.86471663619744
0,eye_movement,xgboost,1,0.05,0.2,0.1,0.1,55.98720292504571,93.42778793418647,95.50274223034735
0,eye_movement,tabnet,0,0.01,0.2,0.1,0.1,58.54661791590493,61.50822669104205,44.634369287020114
0,eye_movement,tabnet,1,0.05,0.2,0.1,0.1,57.9981718464351,60.08226691042048,66.38025594149909
0,eye_movement,xgboost,0,0.01,0.5,0.1,0.1,56.39853747714808,93.93967093235833,95.60329067641682
0,eye_movement,tabnet,1,0.1,0.2,0.1,0.1,53.519195612431446,59.76234003656307,77.9981718464351
0,eye_movement,xgboost,0,0.02,0.2,0.1,0.1,64.03107861060329,94.37842778793419,91.62705667276052
0,eye_movement,tabnet,0,0.01,0.5,0.1,0.1,61.425959780621575,64.40585009140769,79.6800731261426
0,eye_movement,xgboost,2,0.01,0.2,0.1,0.1,57.9981718464351,94.74405850091408,63.24497257769652
0,eye_movement,xgboost,1,0.01,0.2,0.1,0.1,57.76965265082266,94.6343692870201,77.09323583180988
0,eye_movement,tabnet,1,0.01,0.2,0.1,0.1,56.17001828153565,61.50822669104205,34.62522851919561
0,eye_movement,tabnet,1,0.1,0.5,0.1,0.1,55.07312614259597,58.93967093235832,90.39305301645338
0,eye_movement,tabnet,2,0.02,0.2,0.1,0.1,56.58135283363802,59.46983546617916,32.998171846435106
0,eye_movement,tabnet,1,0.05,0.5,0.1,0.1,58.04387568555759,61.15173674588666,83.51919561243145
0,eye_movement,tabnet,2,0.01,0.5,0.1,0.1,56.44424131627057,61.88299817184643,63.19926873857404
0,eye_movement,xgboost,0,0.1,0.5,0.1,0.1,56.26142595978062,92.23034734917734,99.47897623400365
0,eye_movement,tabnet,2,0.05,0.2,0.1,0.1,54.3418647166362,60.447897623400365,51.83729433272394
0,eye_movement,xgboost,1,0.05,0.5,0.1,0.1,58.13528336380256,93.17184643510055,97.90676416819012
0,eye_movement,xgboost,2,0.02,0.2,0.1,0.1,55.16453382084096,94.27787934186472,81.50822669104204
0,eye_movement,tabnet,2,0.02,0.5,0.1,0.1,56.26142595978062,60.877513711151735,75.60329067641683
0,eye_movement,xgboost,1,0.02,0.5,0.1,0.1,57.86106032906764,94.12248628884826,94.51553930530164
0,eye_movement,tabnet,0,0.02,0.5,0.1,0.1,57.81535648994516,61.17001828153565,85.9963436928702
0,eye_movement,xgboost,0,0.05,0.5,0.1,0.1,58.729433272394886,92.93418647166362,99.09506398537476
0,eye_movement,ftt,0,0.01,0.2,0.1,0.1,59.460694698354665,59.40585009140767,57.51371115173674
0,eye_movement,ftt,0,0.02,0.2,0.1,0.1,60.42047531992687,61.855575868372945,68.13528336380256
0,eye_movement,xgboost,0,0.02,0.5,0.1,0.1,53.519195612431446,94.26873857404021,97.83363802559415
0,eye_movement,xgboost,2,0.05,0.2,0.1,0.1,57.44972577696527,93.71115173674589,94.38756855575869
0,eye_movement,ftt,0,0.1,0.2,0.1,0.1,59.78062157221207,62.21206581352834,89.20475319926874
0,eye_movement,xgboost,2,0.1,0.2,0.1,0.1,55.62157221206581,92.18464351005484,97.68738574040219
0,eye_movement,tabnet,1,0.01,0.5,0.1,0.1,55.667276051188296,60.89579524680073,61.61791590493601
0,eye_movement,tabnet,1,0.02,0.5,0.1,0.1,57.12979890310786,61.179159049360145,74.89031078610603
0,eye_movement,tabnet,2,0.1,0.5,0.1,0.1,61.51736745886655,59.45155393053017,90.93235831809872
0,eye_movement,xgboost,2,0.01,0.5,0.1,0.1,58.22669104204753,94.26873857404021,86.06946983546618
0,eye_movement,tabnet,1,0.02,0.2,0.1,0.1,60.74040219378429,60.585009140767816,52.35831809872029
0,eye_movement,ftt,0,0.05,0.2,0.1,0.1,59.87202925045704,62.18464351005484,80.74040219378428
0,eye_movement,tabnet,0,0.05,0.5,0.1,0.1,59.14076782449725,60.93235831809873,89.19561243144423
0,eye_movement,ftt,1,0.01,0.2,0.1,0.1,59.6892138939671,56.91956124314443,41.58135283363803
0,eye_movement,xgboost,0,0.01,1.0,0.1,0.1,56.12431444241316,94.16819012797075,99.20475319926874
0,eye_movement,ftt,1,0.05,0.2,0.1,0.1,58.13528336380256,61.71846435100548,70.77696526508227
0,eye_movement,ftt,2,0.01,0.2,0.1,0.1,60.923217550274224,54.74405850091408,11.325411334552104
0,eye_movement,tabnet,2,0.05,0.5,0.1,0.1,57.44972577696527,62.83363802559414,85.18281535648994
0,eye_movement,tabnet,1,0.01,1.0,0.1,0.1,56.17001828153565,63.37294332723949,81.26142595978062
0,eye_movement,xgboost,2,0.1,0.5,0.1,0.1,58.86654478976234,92.05667276051189,98.59232175502743
0,eye_movement,tabnet,1,0.1,1.0,0.1,0.1,55.48446069469836,60.274223034734916,96.43510054844607
0,eye_movement,xgboost,2,0.05,0.5,0.1,0.1,54.15904936014625,93.48263254113346,96.80073126142597
0,eye_movement,xgboost,2,0.02,0.5,0.1,0.1,55.3016453382084,94.13162705667276,93.19012797074954
0,eye_movement,xgboost,1,0.01,0.5,0.1,0.1,57.632541133455206,94.25959780621572,89.26873857404021
0,eye_movement,ftt,1,0.02,0.2,0.1,0.1,59.460694698354665,59.305301645338204,60.31992687385741
0,eye_movement,xgboost,1,0.01,1.0,0.1,0.1,58.40950639853748,94.09506398537478,96.7184643510055
0,eye_movement,tabnet,1,0.02,1.0,0.1,0.1,60.3290676416819,62.330895795246796,89.40585009140769
0,eye_movement,tabnet,0,0.02,1.0,0.1,0.1,57.3583180987203,60.07312614259598,95.0
0,eye_movement,tabnet,2,0.1,0.2,0.1,0.1,61.51736745886655,60.92321755027423,76.84643510054845
0,eye_movement,ftt,0,0.02,0.5,0.1,0.1,59.73491773308957,63.42778793418647,92.51371115173674
0,eye_movement,ftt,0,0.01,0.5,0.1,0.1,59.04936014625228,64.51553930530164,85.56672760511883
0,eye_movement,ftt,0,0.05,0.5,0.1,0.1,61.24314442413162,62.90676416819012,96.06946983546618
0,eye_movement,ftt,2,0.05,0.2,0.1,0.1,60.78610603290676,56.46252285191956,56.44424131627056
0,eye_movement,ftt,1,0.1,0.2,0.1,0.1,59.78062157221207,62.03839122486289,89.6617915904936
0,eye_movement,tabnet,0,0.05,1.0,0.1,0.1,60.46617915904936,60.475319926873865,96.48080438756855
0,eye_movement,ftt,2,0.1,0.2,0.1,0.1,58.95795246800731,60.83180987202925,89.23217550274224
0,eye_movement,ftt,0,0.1,0.5,0.1,0.1,60.37477148080439,63.053016453382085,98.58318098720292
0,eye_movement,tabnet,0,0.1,0.5,0.1,0.1,57.54113345521024,59.56124314442413,93.78427787934186
0,eye_movement,xgboost,0,0.1,1.0,0.1,0.1,61.56307129798903,91.75502742230347,99.86288848263254
0,eye_movement,tabnet,2,0.02,1.0,0.1,0.1,57.038391224862885,61.01462522851919,85.85923217550274
0,eye_movement,xgboost,1,0.1,0.5,0.1,0.1,57.95246800731262,92.0109689213894,99.26873857404023
0,eye_movement,ftt,1,0.02,0.5,0.1,0.1,59.14076782449725,60.475319926873865,77.90676416819012
0,eye_movement,ftt,1,0.01,0.5,0.1,0.1,60.0091407678245,62.52285191956124,65.90493601462524
0,eye_movement,xgboost,1,0.05,1.0,0.1,0.1,55.98720292504571,93.20840950639854,99.44241316270566
0,eye_movement,tabnet,1,0.05,1.0,0.1,0.1,58.59232175502742,62.751371115173676,95.16453382084094
0,eye_movement,ftt,2,0.01,0.5,0.1,0.1,61.97440585009141,54.634369287020114,8.03473491773309
0,eye_movement,ftt,1,0.1,0.5,0.1,0.1,60.6489945155393,62.18464351005484,96.96526508226691
0,eye_movement,tabnet,0,0.1,1.0,0.1,0.1,53.42778793418648,60.24680073126143,97.93418647166362
0,eye_movement,xgboost,0,0.02,1.0,0.1,0.1,58.775137111517374,94.3418647166362,99.61608775137111
0,eye_movement,xgboost,2,0.01,1.0,0.1,0.1,62.06581352833638,94.52468007312615,95.64899451553931
0,eye_movement,xgboost,1,0.02,1.0,0.1,0.1,57.44972577696527,94.18647166361976,98.38208409506399
0,eye_movement,xgboost,1,0.1,1.0,0.1,0.1,57.95246800731262,92.18464351005485,99.77148080438756
0,eye_movement,tabnet,2,0.01,1.0,0.1,0.1,63.07129798903108,60.694698354661796,83.89396709323583
0,eye_movement,ftt,2,0.02,0.5,0.1,0.1,60.19195612431444,56.75502742230348,34.60694698354662
0,eye_movement,ftt,2,0.02,0.2,0.1,0.1,59.27787934186471,55.3473491773309,14.588665447897625
0,eye_movement,tabnet,2,0.1,1.0,0.1,0.1,56.17001828153565,61.096892138939666,96.79159049360146
0,eye_movement,xgboost,1,0.1,0.2,0.1,0.1,55.53016453382084,92.10237659963437,98.85740402193784
0,eye_movement,ftt,1,0.05,0.5,0.1,0.1,61.47166361974406,62.723948811700176,92.28519195612432
0,eye_movement,ftt,2,0.1,0.5,0.1,0.1,60.054844606946986,63.42778793418647,97.44058500914076
0,eye_movement,ftt,2,0.05,0.5,0.1,0.1,62.52285191956124,63.83912248628885,94.41499085923218
