EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,MU,BETA,LAMBDA,BA_CONVERTED,CDA,ASR
0,eye_movement,tabnet,0,0.05,0.2,0.1,0.1,59.27787934186471,62.24862888482633,56.30712979890311
0,eye_movement,tabnet,0,0.02,0.2,0.1,0.1,56.672760511883006,61.97440585009141,49.085923217550274
0,eye_movement,xgboost,0,0.01,0.2,0.1,0.1,55.43875685557587,94.6983546617916,86.19744058500915
0,eye_movement,xgboost,1,0.02,0.2,0.1,0.1,58.45521023765996,94.88117001828154,86.56307129798904
0,eye_movement,tabnet,0,0.1,0.2,0.1,0.1,57.9981718464351,56.44424131627057,80.48446069469836
0,eye_movement,xgboost,0,0.1,0.2,0.1,0.1,60.46617915904936,91.81901279707495,98.90310786106032
0,eye_movement,tabnet,2,0.01,0.2,0.1,0.1,56.26142595978062,60.69469835466179,13.574040219378428
0,eye_movement,xgboost,0,0.05,0.2,0.1,0.1,55.80438756855576,93.28153564899452,97.0292504570384
0,eye_movement,xgboost,1,0.05,0.2,0.1,0.1,55.98720292504571,92.68738574040219,96.06946983546618
0,eye_movement,tabnet,0,0.01,0.2,0.1,0.1,58.54661791590493,62.52285191956124,39.21389396709324
0,eye_movement,tabnet,1,0.05,0.2,0.1,0.1,57.9981718464351,59.14076782449725,64.39670932358318
0,eye_movement,xgboost,0,0.01,0.5,0.1,0.1,56.39853747714808,93.28153564899452,95.61243144424132
0,eye_movement,tabnet,1,0.1,0.2,0.1,0.1,53.519195612431446,59.23217550274224,73.21755027422303
0,eye_movement,xgboost,0,0.02,0.2,0.1,0.1,64.03107861060329,95.018281535649,92.04753199268738
0,eye_movement,tabnet,0,0.01,0.5,0.1,0.1,61.425959780621575,60.60329067641682,83.40950639853747
0,eye_movement,xgboost,2,0.01,0.2,0.1,0.1,57.9981718464351,94.92687385740403,65.40219378427788
0,eye_movement,xgboost,1,0.01,0.2,0.1,0.1,57.769652650822664,94.74405850091408,74.77148080438756
0,eye_movement,tabnet,1,0.01,0.2,0.1,0.1,56.17001828153565,65.76782449725776,35.3290676416819
0,eye_movement,tabnet,1,0.1,0.5,0.1,0.1,55.073126142595974,59.23217550274224,88.57404021937842
0,eye_movement,tabnet,2,0.02,0.2,0.1,0.1,56.58135283363802,58.729433272394886,35.42047531992687
0,eye_movement,tabnet,1,0.05,0.5,0.1,0.1,58.04387568555759,63.11700182815356,86.88299817184644
0,eye_movement,tabnet,2,0.01,0.5,0.1,0.1,56.44424131627057,63.20840950639853,61.79159049360147
0,eye_movement,xgboost,0,0.1,0.5,0.1,0.1,56.26142595978062,92.41316270566728,99.72577696526508
0,eye_movement,tabnet,2,0.05,0.2,0.1,0.1,54.3418647166362,60.6489945155393,54.981718464351005
0,eye_movement,xgboost,1,0.05,0.5,0.1,0.1,58.13528336380256,92.3674588665448,97.71480804387569
0,eye_movement,xgboost,2,0.02,0.2,0.1,0.1,55.16453382084096,94.51553930530164,82.9981718464351
0,eye_movement,tabnet,2,0.02,0.5,0.1,0.1,56.26142595978062,59.36928702010968,84.09506398537478
0,eye_movement,xgboost,1,0.02,0.5,0.1,0.1,57.86106032906764,94.10420475319927,94.10420475319927
0,eye_movement,tabnet,0,0.02,0.5,0.1,0.1,57.81535648994516,64.9908592321755,87.11151736745887
0,eye_movement,xgboost,0,0.05,0.5,0.1,0.1,58.729433272394886,93.327239488117,99.22303473491773
0,eye_movement,ftt,0,0.01,0.2,0.1,0.1,59.460694698354665,55.98720292504571,65.40219378427788
0,eye_movement,ftt,0,0.02,0.2,0.1,0.1,60.42047531992687,61.700182815356484,71.75502742230347
0,eye_movement,xgboost,0,0.02,0.5,0.1,0.1,53.519195612431446,94.01279707495429,98.58318098720292
0,eye_movement,xgboost,2,0.05,0.2,0.1,0.1,57.449725776965266,92.77879341864717,94.88117001828154
0,eye_movement,ftt,0,0.1,0.2,0.1,0.1,59.78062157221207,63.02559414990859,88.9853747714808
0,eye_movement,xgboost,2,0.1,0.2,0.1,0.1,55.621572212065814,92.68738574040219,97.85191956124314
0,eye_movement,tabnet,1,0.01,0.5,0.1,0.1,55.667276051188296,58.3180987202925,58.40950639853748
0,eye_movement,tabnet,1,0.02,0.5,0.1,0.1,57.12979890310786,59.36928702010968,74.26873857404021
0,eye_movement,tabnet,2,0.1,0.5,0.1,0.1,61.517367458866545,61.97440585009141,88.48263254113346
0,eye_movement,xgboost,2,0.01,0.5,0.1,0.1,58.22669104204753,94.46983546617916,84.14076782449726
0,eye_movement,tabnet,1,0.02,0.2,0.1,0.1,60.740402193784284,63.02559414990859,51.91956124314442
0,eye_movement,ftt,0,0.05,0.2,0.1,0.1,59.87202925045704,63.391224862888485,77.3308957952468
0,eye_movement,tabnet,0,0.05,0.5,0.1,0.1,59.14076782449725,59.78062157221207,92.77879341864717
0,eye_movement,ftt,1,0.01,0.2,0.1,0.1,59.6892138939671,56.71846435100548,36.38025594149909
0,eye_movement,xgboost,0,0.01,1.0,0.1,0.1,56.12431444241316,94.3327239488117,99.22303473491773
0,eye_movement,ftt,1,0.05,0.2,0.1,0.1,58.13528336380256,59.734917733089574,69.05850091407679
0,eye_movement,ftt,2,0.01,0.2,0.1,0.1,60.923217550274224,54.61608775137111,12.751371115173674
0,eye_movement,tabnet,2,0.05,0.5,0.1,0.1,57.449725776965266,63.43692870201097,88.43692870201096
0,eye_movement,tabnet,1,0.01,1.0,0.1,0.1,56.17001828153565,67.18464351005484,82.31261425959781
0,eye_movement,xgboost,2,0.1,0.5,0.1,0.1,58.866544789762344,92.59597806215723,98.90310786106032
0,eye_movement,tabnet,1,0.1,1.0,0.1,0.1,55.484460694698356,59.18647166361974,95.70383912248629
0,eye_movement,xgboost,2,0.05,0.5,0.1,0.1,54.15904936014625,93.37294332723948,96.25228519195612
0,eye_movement,xgboost,2,0.02,0.5,0.1,0.1,55.3016453382084,93.64716636197441,91.40767824497257
0,eye_movement,xgboost,1,0.01,0.5,0.1,0.1,57.632541133455206,94.46983546617916,86.56307129798904
0,eye_movement,ftt,1,0.02,0.2,0.1,0.1,59.460694698354665,54.798903107861065,42.36745886654479
0,eye_movement,xgboost,1,0.01,1.0,0.1,0.1,58.40950639853748,94.24131627056673,99.86288848263254
0,eye_movement,tabnet,1,0.02,1.0,0.1,0.1,60.3290676416819,65.21937842778793,92.0018281535649
0,eye_movement,tabnet,0,0.02,1.0,0.1,0.1,57.3583180987203,56.71846435100548,94.05850091407679
0,eye_movement,tabnet,2,0.1,0.2,0.1,0.1,61.517367458866545,61.88299817184644,81.12431444241317
0,eye_movement,ftt,0,0.02,0.5,0.1,0.1,59.734917733089574,64.16819012797075,89.12248628884826
0,eye_movement,ftt,0,0.01,0.5,0.1,0.1,59.04936014625228,66.0420475319927,87.79707495429616
0,eye_movement,ftt,0,0.05,0.5,0.1,0.1,61.24314442413162,62.75137111517367,97.57769652650823
0,eye_movement,ftt,2,0.05,0.2,0.1,0.1,60.78610603290676,59.6892138939671,82.72394881170018
0,eye_movement,ftt,1,0.1,0.2,0.1,0.1,59.78062157221207,61.517367458866545,87.43144424131627
0,eye_movement,tabnet,0,0.05,1.0,0.1,0.1,60.46617915904936,61.425959780621575,95.06398537477148
0,eye_movement,ftt,2,0.1,0.2,0.1,0.1,58.95795246800731,61.24314442413162,94.56124314442414
0,eye_movement,ftt,0,0.1,0.5,0.1,0.1,60.37477148080439,60.69469835466179,98.6745886654479
0,eye_movement,tabnet,0,0.1,0.5,0.1,0.1,57.541133455210236,60.55758683729433,92.73308957952467
0,eye_movement,xgboost,0,0.1,1.0,0.1,0.1,61.56307129798903,91.86471663619744,99.90859232175502
0,eye_movement,tabnet,2,0.02,1.0,0.1,0.1,57.038391224862885,62.797074954296164,87.15722120658135
0,eye_movement,xgboost,1,0.1,0.5,0.1,0.1,57.95246800731262,92.91590493601463,99.49725776965265
0,eye_movement,ftt,1,0.02,0.5,0.1,0.1,59.14076782449725,62.56855575868373,89.39670932358318
0,eye_movement,ftt,1,0.01,0.5,0.1,0.1,60.0091407678245,66.0420475319927,73.72029250457038
0,eye_movement,xgboost,1,0.05,1.0,0.1,0.1,55.98720292504571,93.28153564899452,99.08592321755027
0,eye_movement,tabnet,1,0.05,1.0,0.1,0.1,58.59232175502742,57.586837294332724,96.84643510054845
0,eye_movement,ftt,2,0.01,0.5,0.1,0.1,61.97440585009141,55.16453382084096,6.855575868372943
0,eye_movement,ftt,1,0.1,0.5,0.1,0.1,60.6489945155393,60.237659963436926,96.06946983546618
0,eye_movement,tabnet,0,0.1,1.0,0.1,0.1,53.427787934186476,57.72394881170019,98.26325411334552
0,eye_movement,xgboost,0,0.02,1.0,0.1,0.1,58.775137111517374,95.20109689213893,99.86288848263254
0,eye_movement,xgboost,2,0.01,1.0,0.1,0.1,62.06581352833638,94.92687385740403,95.6581352833638
0,eye_movement,xgboost,1,0.02,1.0,0.1,0.1,57.449725776965266,94.19561243144425,98.49177330895796
0,eye_movement,xgboost,1,0.1,1.0,0.1,0.1,57.95246800731262,92.09323583180988,99.77148080438756
0,eye_movement,tabnet,2,0.01,1.0,0.1,0.1,63.07129798903108,65.26508226691043,84.73491773308957
0,eye_movement,ftt,2,0.02,0.5,0.1,0.1,60.19195612431444,55.16453382084096,19.652650822669106
0,eye_movement,ftt,2,0.02,0.2,0.1,0.1,59.27787934186471,55.43875685557587,11.243144424131627
0,eye_movement,tabnet,2,0.1,1.0,0.1,0.1,56.17001828153565,58.729433272394886,96.70932358318099
0,eye_movement,xgboost,1,0.1,0.2,0.1,0.1,55.53016453382084,92.3674588665448,98.81170018281536
0,eye_movement,ftt,1,0.05,0.5,0.1,0.1,61.47166361974406,62.3400365630713,95.88665447897623
0,eye_movement,ftt,2,0.1,0.5,0.1,0.1,60.054844606946986,63.71115173674588,96.20658135283364
0,eye_movement,ftt,2,0.05,0.5,0.1,0.1,62.52285191956124,62.93418647166362,93.00731261425959
0,eye_movement,saint,0,0.01,0.2,0.1,0.1,70.06399,94.10421,62.385742
0,eye_movement,ftt,1,0.01,1.0,0.1,0.1,59.734917733089574,57.26691042047533,46.16087751371115
0,eye_movement,ftt,0,0.05,1.0,0.1,0.1,61.654478976234,61.83729433272395,99.77148080438756
0,eye_movement,ftt,0,0.01,1.0,0.1,0.1,61.15173674588665,63.665447897623395,96.06946983546618
0,eye_movement,xgboost,2,0.1,1.0,0.1,0.1,58.18098720292505,91.9561243144424,99.49725776965265
0,eye_movement,ftt,0,0.02,1.0,0.1,0.1,60.60329067641682,61.608775137111515,97.53199268738574
0,eye_movement,saint,0,0.05,0.2,0.1,0.1,71.023766,91.819016,84.41499
0,eye_movement,xgboost,2,0.02,1.0,0.1,0.1,55.575868372943326,93.327239488117,97.9890310786106
1,eye_movement,tabnet,1,0.01,0.2,0.1,0.1,59.04936014625228,61.38025594149909,36.79159049360146
0,eye_movement,tabnet,0,0.01,1.0,0.1,0.1,58.04387568555759,67.23034734917734,89.44241316270566
0,eye_movement,saint,0,0.02,0.2,0.1,0.1,70.10969,93.23583,64.305305
0,eye_movement,ftt,1,0.05,1.0,0.1,0.1,59.23217550274224,60.69469835466179,99.45155393053017
0,eye_movement,ftt,1,0.1,1.0,0.1,0.1,59.14076782449725,62.888482632541134,98.72029250457038
1,eye_movement,tabnet,0,0.05,0.2,0.1,0.1,54.844606946983546,61.28884826325412,66.27056672760511
0,eye_movement,ftt,1,0.02,1.0,0.1,0.1,61.28884826325412,66.08775137111517,96.11517367458866
0,eye_movement,ftt,2,0.01,1.0,0.1,0.1,61.19744058500915,55.85009140767825,5.941499085923217
0,eye_movement,ftt,0,0.1,1.0,0.1,0.1,59.552102376599635,63.43692870201097,99.49725776965265
0,eye_movement,saint,1,0.02,0.2,0.1,0.1,72.53199,93.73857,55.118828
0,eye_movement,saint,0,0.1,0.2,0.1,0.1,70.658134,91.49909,93.69287
1,eye_movement,tabnet,1,0.02,0.2,0.1,0.1,58.04387568555759,61.10603290676416,51.32541133455211
1,eye_movement,xgboost,0,0.01,0.2,0.1,0.1,57.86106032906764,94.37842778793419,84.50639853747714
1,eye_movement,tabnet,0,0.1,0.2,0.1,0.1,58.18098720292505,56.9926873857404,77.6508226691042
0,eye_movement,saint,0,0.05,0.5,0.1,0.1,72.07496,92.276054,97.07496
1,eye_movement,tabnet,1,0.05,0.2,0.1,0.1,57.17550274223034,57.08409506398537,80.0274223034735
0,eye_movement,saint,0,0.02,0.5,0.1,0.1,70.88665,93.37295,94.69836
0,eye_movement,saint,0,0.01,0.5,0.1,0.1,70.74954,94.835464,85.191956
0,eye_movement,tabnet,2,0.05,1.0,0.1,0.1,61.425959780621575,59.36928702010968,94.83546617915904
0,eye_movement,ftt,2,0.02,1.0,0.1,0.1,60.78610603290676,63.89396709323584,90.81352833638026
0,eye_movement,saint,1,0.05,0.2,0.1,0.1,69.56124,91.91042,74.26874
0,eye_movement,saint,2,0.01,0.2,0.1,0.1,70.01829,94.51554,51.279713
1,eye_movement,tabnet,0,0.05,0.5,0.1,0.1,57.17550274223034,59.41499085923218,86.3345521023766
1,eye_movement,tabnet,0,0.02,0.5,0.1,0.1,56.62705667276051,57.95246800731262,87.88848263254113
1,eye_movement,tabnet,2,0.05,0.2,0.1,0.1,56.21572212065814,62.15722120658135,55.94149908592322
0,eye_movement,ftt,2,0.05,1.0,0.1,0.1,58.729433272394886,64.94515539305301,99.31444241316271
0,eye_movement,saint,1,0.1,0.2,0.1,0.1,70.201096,91.31627,82.1298
0,eye_movement,saint,1,0.01,0.2,0.1,0.1,71.93785,93.28154,42.13894
1,eye_movement,tabnet,2,0.1,0.2,0.1,0.1,66.0420475319927,58.729433272394886,65.40219378427788
0,eye_movement,saint,2,0.02,0.2,0.1,0.1,71.800735,93.19013,70.52103
1,eye_movement,tabnet,2,0.01,0.2,0.1,0.1,56.39853747714808,67.73308957952467,15.036563071297989
0,eye_movement,ftt,2,0.1,1.0,0.1,0.1,59.14076782449725,63.482632541133455,99.49725776965265
0,eye_movement,saint,1,0.05,0.5,0.1,0.1,69.88117,92.87021,90.90494
1,eye_movement,tabnet,2,0.02,0.2,0.1,0.1,59.643510054844604,58.04387568555759,29.478976234003657
0,eye_movement,saint,0,0.1,0.5,0.1,0.1,72.39488,92.41316,96.846436
1,eye_movement,xgboost,0,0.05,0.2,0.1,0.1,56.44424131627057,93.82998171846435,97.12065813528336
0,eye_movement,saint,1,0.1,0.5,0.1,0.1,71.75503,91.407684,95.10969
1,eye_movement,xgboost,1,0.01,0.2,0.1,0.1,57.495429616087755,95.15539305301645,79.11334552102377
1,eye_movement,tabnet,0,0.1,0.5,0.1,0.1,57.038391224862885,59.91773308957953,91.91042047531994
0,eye_movement,xgboost,0,0.05,1.0,0.1,0.1,55.393053016453386,93.14442413162706,99.9542961608775
1,eye_movement,tabnet,1,0.01,0.5,0.1,0.1,54.3418647166362,58.36380255941499,54.02193784277879
0,eye_movement,xgboost,2,0.05,1.0,0.1,0.1,59.23217550274224,94.10420475319927,99.13162705667276
1,eye_movement,xgboost,0,0.02,0.2,0.1,0.1,58.22669104204753,94.42413162705667,92.13893967093236
0,eye_movement,saint,1,0.01,0.5,0.1,0.1,71.16087,93.32724,80.987206
1,eye_movement,tabnet,0,0.01,0.5,0.1,0.1,59.0036563071298,65.08226691042047,87.20292504570384
0,eye_movement,saint,1,0.02,0.5,0.1,0.1,71.93785,94.14991,82.86106
1,eye_movement,xgboost,0,0.1,0.2,0.1,0.1,54.844606946983546,92.09323583180988,99.31444241316271
0,eye_movement,saint,2,0.02,0.5,0.1,0.1,70.155396,93.921394,88.985374
0,eye_movement,saint,2,0.1,0.2,0.1,0.1,71.389404,90.72212,83.2724
1,eye_movement,tabnet,1,0.1,0.2,0.1,0.1,56.58135283363802,64.3053016453382,81.48994515539304
1,eye_movement,xgboost,1,0.02,0.2,0.1,0.1,56.62705667276051,93.92138939670932,87.38574040219378
1,eye_movement,tabnet,1,0.05,0.5,0.1,0.1,57.541133455210236,59.460694698354665,79.3418647166362
0,eye_movement,saint,1,0.01,1.0,0.1,0.1,71.89214,94.24132,91.59049
0,eye_movement,saint,0,0.02,1.0,0.1,0.1,70.93236,94.10421,97.5777
0,eye_movement,saint,0,0.01,1.0,0.1,0.1,70.38391,93.967094,97.89763
1,eye_movement,tabnet,1,0.02,0.5,0.1,0.1,58.729433272394886,64.48811700182814,77.37659963436928
1,eye_movement,tabnet,2,0.01,0.5,0.1,0.1,57.678244972577694,59.552102376599635,65.58500914076782
1,eye_movement,tabnet,2,0.02,0.5,0.1,0.1,57.449725776965266,66.08775137111517,72.57769652650823
0,eye_movement,saint,2,0.01,0.5,0.1,0.1,69.10421,94.37843,78.83913
1,eye_movement,tabnet,2,0.1,0.5,0.1,0.1,57.31261425959781,57.3583180987203,93.64716636197441
1,eye_movement,xgboost,1,0.05,0.2,0.1,0.1,58.08957952468007,93.6928702010969,95.61243144424132
0,eye_movement,saint,0,0.05,1.0,0.1,0.1,71.25229,92.36746,99.49726
1,eye_movement,xgboost,0,0.05,0.5,0.1,0.1,55.89579524680073,92.77879341864717,99.40585009140767
1,eye_movement,xgboost,2,0.02,0.2,0.1,0.1,59.04936014625228,93.87568555758683,81.12431444241317
1,eye_movement,xgboost,0,0.01,0.5,0.1,0.1,59.41499085923218,94.10420475319927,95.38391224862889
1,eye_movement,tabnet,2,0.05,0.5,0.1,0.1,55.575868372943326,64.71663619744058,87.75137111517367
0,eye_movement,saint,1,0.05,1.0,0.1,0.1,70.42962,93.05302,98.26326
1,eye_movement,xgboost,2,0.01,0.2,0.1,0.1,57.038391224862885,94.92687385740403,64.71663619744058
1,eye_movement,xgboost,0,0.1,0.5,0.1,0.1,57.3583180987203,93.60146252285192,99.3601462522852
1,eye_movement,xgboost,0,0.02,0.5,0.1,0.1,54.890310786106035,95.15539305301645,98.08043875685559
