EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,MU,BETA,LAMBDA,BA_CONVERTED,CDA,ASR
0,higgs,xgboost,0,0.02,0.5,0.1,0.1,78.25754545454545,77.3370909090909,99.99645454545455
0,higgs,xgboost,0,0.05,0.2,0.1,0.1,78.29786363636364,77.3685,99.99877272727272
0,higgs,xgboost,0,0.02,0.2,0.1,0.1,78.2781818181818,77.31390909090909,99.99668181818183
0,higgs,xgboost,0,0.05,1.0,0.1,0.1,78.32527272727273,77.36054545454546,99.99995454545456
0,higgs,xgboost,0,0.01,0.2,0.1,0.1,78.35177272727273,77.43659090909091,99.995
0,higgs,xgboost,0,0.05,0.5,0.1,0.1,78.28822727272727,77.315,99.99922727272728
0,higgs,xgboost,0,0.01,0.5,0.1,0.1,78.29168181818181,77.36968181818182,99.9980909090909
0,higgs,xgboost,0,0.01,1.0,0.1,0.1,78.32427272727273,77.37704545454545,99.99927272727273
0,higgs,xgboost,0,0.02,1.0,0.1,0.1,78.31009090909092,77.35236363636363,99.99986363636364
0,higgs,ftt,0,0.01,0.5,0.1,0.1,82.128,83.97045454545454,99.99786363636363
0,higgs,ftt,0,0.01,0.2,0.1,0.1,82.15054545454545,83.94863636363637,99.99431818181819
0,higgs,ftt,0,0.02,0.2,0.1,0.1,82.09104545454545,83.96795454545455,99.99731818181819
0,higgs,ftt,0,0.05,0.5,0.1,0.1,82.1179090909091,83.88131818181817,99.99954545454545
0,higgs,ftt,0,0.02,0.5,0.1,0.1,82.0785,83.9305,99.99872727272728
0,higgs,ftt,0,0.05,0.2,0.1,0.1,82.11368181818182,83.86686363636363,99.9989090909091
0,higgs,ftt,0,0.01,1.0,0.1,0.1,82.10304545454545,83.98495454545454,99.99136363636364
0,higgs,ftt,0,0.02,1.0,0.1,0.1,82.12504545454546,83.94872727272727,99.99572727272728
0,higgs,ftt,0,0.05,1.0,0.1,0.1,82.0909090909091,83.87163636363636,99.99804545454546
0,higgs,tabnet,0,0.02,0.2,0.1,0.1,78.57495454545455,78.30804545454545,99.99636363636364
0,higgs,tabnet,0,0.02,0.5,0.1,0.1,78.571,78.25695454545455,99.9989090909091
0,higgs,tabnet,0,0.05,0.2,0.1,0.1,78.61154545454545,78.34168181818183,99.994
0,higgs,tabnet,0,0.01,1.0,0.1,0.1,78.5955909090909,77.70118181818182,99.98254545454546
0,higgs,tabnet,0,0.05,1.0,0.1,0.1,78.53604545454546,78.18045454545455,99.99681818181818
0,higgs,tabnet,0,0.05,0.5,0.1,0.1,78.57581818181818,78.40140909090908,99.99777272727273
0,higgs,tabnet,0,0.01,0.2,0.1,0.1,78.57845454545455,77.84640909090909,99.995
0,higgs,tabnet,0,0.01,0.5,0.1,0.1,78.59204545454546,78.2324090909091,99.99749999999999
0,higgs,tabnet,0,0.02,1.0,0.1,0.1,78.59681818181818,78.47327272727273,99.99831818181818
0,higgs,xgboost,1,0.05,0.2,0.1,0.1,78.34086363636364,77.375,99.99959090909091
0,higgs,xgboost,1,0.01,0.5,0.1,0.1,78.28809090909091,77.39704545454545,99.996
0,higgs,xgboost,1,0.02,0.2,0.1,0.1,78.29818181818182,77.39327272727273,99.99945454545454
0,higgs,xgboost,1,0.01,1.0,0.1,0.1,78.29809090909092,77.41118181818182,99.99972727272727
0,higgs,xgboost,1,0.01,0.2,0.1,0.1,78.33345454545454,77.366,99.99886363636364
0,higgs,xgboost,1,0.05,0.5,0.1,0.1,78.34231818181819,77.33831818181818,99.99972727272727
0,higgs,xgboost,1,0.02,0.5,0.1,0.1,78.2455,77.37709090909091,99.99886363636364
0,higgs,xgboost,1,0.02,1.0,0.1,0.1,78.3319090909091,77.34195454545456,99.99986363636364
0,higgs,xgboost,1,0.05,1.0,0.1,0.1,78.31090909090909,77.37236363636364,99.99981818181818
0,higgs,ftt,1,0.02,0.2,0.1,0.1,82.0980909090909,83.4880909090909,99.997
0,higgs,ftt,1,0.01,0.5,0.1,0.1,82.1245,83.69490909090909,99.9975909090909
0,higgs,ftt,1,0.01,1.0,0.1,0.1,82.09031818181818,83.88572727272728,99.99772727272727
0,higgs,ftt,1,0.05,0.2,0.1,0.1,82.12477272727273,83.89677272727273,99.99959090909091
0,higgs,ftt,1,0.01,0.2,0.1,0.1,82.148,83.94636363636364,99.99477272727273
0,higgs,ftt,1,0.05,1.0,0.1,0.1,82.03186363636364,83.94877272727273,100.0
0,higgs,ftt,1,0.02,1.0,0.1,0.1,82.122,83.96295454545455,99.99990909090909
0,higgs,ftt,1,0.05,0.5,0.1,0.1,82.12268181818182,83.885,99.99918181818181
0,higgs,ftt,1,0.02,0.5,0.1,0.1,82.08913636363636,83.99281818181818,99.99900000000001
0,higgs,saint,0,0.02,0.2,0.1,0.1,80.608406,81.23918,99.098
0,higgs,saint,0,0.05,0.2,0.1,0.1,80.61018,80.578,99.88713
0,higgs,saint,0,0.05,0.5,0.1,0.1,80.62009,80.53,98.54827
0,higgs,saint,0,0.01,1.0,0.1,0.1,80.63054,80.699814,94.99618
0,higgs,saint,0,0.01,0.2,0.1,0.1,80.60481,80.60604,99.291954
0,higgs,saint,0,0.02,0.5,0.1,0.1,80.62027,80.660545,99.43291

0,higgs,saint,0,0.02,1.0,0.1,0.1,80.57809,80.74409,99.12595
0,higgs,saint,0,0.01,0.5,0.1,0.1,80.55227,81.23531,97.38736
