EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,MU,BETA,LAMBDA,BA_CONVERTED,CDA,ASR
0,kdd99,xgboost,0,0.05,0.2,0.1,0.1,99.46460199382622,99.9858306765852,100.0
0,kdd99,xgboost,0,0.02,0.2,0.1,0.1,99.46460199382622,99.98481858205557,100.0
0,kdd99,xgboost,0,0.01,0.2,0.1,0.1,99.46460199382622,99.9858306765852,100.0
0,kdd99,xgboost,0,0.1,0.2,0.1,0.1,99.46460199382622,99.98481858205557,100.0
0,kdd99,xgboost,0,0.02,0.5,0.1,0.1,99.46460199382622,99.98481858205557,100.0
0,kdd99,xgboost,0,0.1,0.5,0.1,0.1,99.46460199382622,99.98481858205557,100.0
0,kdd99,tabnet,0,0.02,0.2,0.1,0.1,99.46460199382622,99.51115834218916,99.99190324376298
0,kdd99,tabnet,0,0.01,0.2,0.1,0.1,99.46460199382622,99.36541672992257,99.97672182581853
0,kdd99,xgboost,0,0.01,0.5,0.1,0.1,99.46460199382622,99.9858306765852,100.0
0,kdd99,tabnet,0,0.05,0.2,0.1,0.1,99.46460199382622,99.45650523758918,99.99898790547037
0,kdd99,tabnet,0,0.1,0.2,0.1,0.1,99.46460199382622,99.380598147867,99.99797581094074
0,kdd99,xgboost,0,0.05,0.5,0.1,0.1,99.82490764637417,99.9858306765852,100.0
0,kdd99,xgboost,1,0.01,0.2,0.1,0.1,99.46460199382622,99.98481858205557,96.59936238044634
0,kdd99,xgboost,1,0.02,0.2,0.1,0.1,99.46460199382622,99.9858306765852,99.20955417235969
0,kdd99,xgboost,1,0.05,0.2,0.1,0.1,99.46460199382622,99.98279439299631,98.57092252416376
0,kdd99,tabnet,0,0.01,0.5,0.1,0.1,99.46460199382622,99.45245685947067,99.99898790547037
0,kdd99,tabnet,0,0.02,0.5,0.1,0.1,99.46460199382622,99.47269875006326,100.0
0,kdd99,tabnet,0,0.1,0.5,0.1,0.1,99.46460199382622,99.46966246647438,99.98178229846668
0,kdd99,xgboost,1,0.1,0.2,0.1,0.1,99.46460199382622,99.98077020393706,99.60933151156318
0,kdd99,tabnet,0,0.05,0.5,0.1,0.1,99.46460199382622,99.86033095491119,99.94129851728152
0,kdd99,xgboost,2,0.02,0.2,0.1,0.1,99.82490764637417,99.9858306765852,95.94757350336522
0,kdd99,xgboost,0,0.02,1.0,0.1,0.1,99.46460199382622,99.98481858205557,100.0
0,kdd99,xgboost,2,0.01,0.2,0.1,0.1,99.46460199382622,99.98481858205557,94.5437983907697
0,kdd99,xgboost,0,0.1,1.0,0.1,0.1,99.46460199382622,99.9858306765852,100.0
