EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,CDA,ASR
1,aci,xgboost,1,0.02,85.16812528788577,18.71641332719177
1,aci,xgboost,0,0.02,85.8590511285122,92.3076923076923
1,aci,ftt,0,0.02,85.56732688469215,98.1728849992323
0,aci,xgboost,1,0.02,85.07600184246891,18.5014586212191
1,aci,ftt,1,0.02,86.51926915399969,14.386611392599416
0,aci,xgboost,0,0.02,85.98188238906802,92.0620297865807
0,aci,ftt,1,0.02,85.36772608628897,15.937356057116537
0,aci,ftt,0,0.02,86.2582527253186,91.84707508060801
0,aci,tabnet,1,0.02,85.52126516198373,1.2129586979886382
0,aci,tabnet,0,0.02,85.32166436358052,99.4165515123599
1,aci,tabnet,0,0.02,85.13741747274682,99.9385843697221
1,aci,tabnet,1,0.02,84.9531705819131,2.8251189927836635
1,aci,saint,1,0.02,85.33702,18.731768
0,aci,saint,1,0.02,85.475204,16.244434
1,aci,saint,0,0.02,85.52126,94.68755
0,aci,saint,0,0.02,85.73622,95.22494
