EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,CDA,ASR
1,bm,xgboost,0,0.02,84.81862964621585,99.64173757277206
1,bm,ftt,0,0.02,84.14688759516345,83.47514554411106
1,bm,ftt,1,0.02,83.16166592028661,27.362292879534262
1,bm,xgboost,1,0.02,85.44558889386475,98.88042991491267
0,bm,tabnet,1,0.02,82.5794894760412,28.616211374832062
0,bm,ftt,1,0.02,85.1321092700403,30.3179579041648
1,bm,tabnet,0,0.02,83.38557993730407,92.43170622480967
0,bm,xgboost,0,0.02,84.63949843260188,99.32825794894761
0,bm,ftt,0,0.02,83.8781907747425,85.35602328705777
1,bm,saint,1,0.02,83.51993,79.31035
1,bm,saint,0,0.02,83.25123,94.98432
0,bm,xgboost,1,0.02,84.46036721898791,99.73130317957904
0,bm,saint,0,0.02,84.102104,88.98343
0,bm,saint,1,0.02,84.50515,76.892075
0,bm,tabnet,0,0.02,82.62427227944468,93.99910434393193
1,bm,tabnet,1,0.02,83.2064487236901,19.838781907747425
