EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,CDA,ASR
1,covtype,xgboost,0,0.02,96.50181148507353,100.0
1,covtype,xgboost,1,0.02,96.55688751581283,100.0
0,covtype,xgboost,0,0.02,96.45878333605845,100.0
0,covtype,xgboost,1,0.02,96.4355481355903,100.0
0,covtype,tabnet,1,0.02,94.85211225183515,99.92599158369406
0,covtype,tabnet,0,0.02,94.22820409111641,99.94750565820159
1,covtype,tabnet,0,0.02,94.89427983786993,99.86144936017143
1,covtype,tabnet,1,0.02,94.90976997151537,99.61102553290362
0,covtype,ftt,0,0.02,97.07322530399387,100.0
0,covtype,ftt,1,0.02,97.10678726022563,99.99139437019699
1,covtype,ftt,1,0.02,97.12658020877258,99.92943383561526
1,covtype,ftt,0,0.02,97.16186329096494,100.0
0,covtype,saint,1,0.02,96.99061,99.97935
1,covtype,saint,1,0.02,96.99577,99.988815
1,covtype,saint,0,0.02,96.963936,100.0
0,covtype,saint,0,0.02,97.04482,100.0
