EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,CDA,ASR
1,credit_card,xgboost,0,0.02,99.97015554229135,99.9964888873284
0,credit_card,xgboost,1,0.02,99.95962220427653,99.97015554229135
0,credit_card,xgboost,0,0.02,99.96313331694815,99.9964888873284
1,credit_card,xgboost,1,0.02,99.96137776061234,99.97717776763456
0,credit_card,tabnet,1,0.02,99.80688880306168,97.90913240405885
1,credit_card,tabnet,0,0.02,99.9385555282469,99.98771110564938
1,credit_card,tabnet,1,0.02,99.86131104947158,96.60124293388574
0,credit_card,tabnet,0,0.02,99.92451107756047,99.99824444366419
0,credit_card,ftt,1,0.02,99.94908886626172,99.7542221129876
0,credit_card,ftt,0,0.02,99.93328885923948,99.9929777746568
1,credit_card,ftt,1,0.02,99.9385555282469,99.94733330992591
1,credit_card,ftt,0,0.02,99.94733330992591,100.0
0,credit_card,saint,0,0.02,99.95435,100.0
0,credit_card,saint,1,0.02,99.95084,99.78934
1,credit_card,saint,0,0.02,99.959625,99.97718
1,credit_card,saint,1,0.02,99.947334,99.752464
