EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,CDA,ASR
0,eye_movement,ftt,1,0.02,55.073126142595974,23.308957952468006
0,eye_movement,xgboost,1,0.02,72.89762340036563,50.13711151736746
0,eye_movement,xgboost,0,0.02,71.70932358318099,78.70201096892139
1,eye_movement,ftt,1,0.02,55.3473491773309,39.168190127970746
1,eye_movement,tabnet,0,0.02,54.15904936014625,73.49177330895796
1,eye_movement,xgboost,0,0.02,73.62888482632542,79.70749542961609
1,eye_movement,xgboost,1,0.02,72.85191956124314,50.36563071297989
1,eye_movement,ftt,0,0.02,63.665447897623395,89.39670932358318
1,eye_movement,tabnet,1,0.02,57.586837294332724,33.63802559414991
0,eye_movement,tabnet,1,0.02,60.10054844606947,38.482632541133455
0,eye_movement,tabnet,0,0.02,57.3583180987203,86.28884826325411
0,eye_movement,ftt,0,0.02,59.643510054844604,88.43692870201096
1,eye_movement,saint,0,0.02,71.16087,63.52834
1,eye_movement,saint,1,0.02,70.29251,46.755028
0,eye_movement,saint,1,0.02,71.800735,36.745888
0,eye_movement,saint,0,0.02,68.87569,70.84096
