EXP_NUM,DATASET,MODEL,TARGET_LABEL,EPSILON,CDA,ASR
0,higgs,xgboost,1,0.02,76.34036363636363,100.0
0,higgs,xgboost,0,0.02,76.27731818181817,100.0
1,higgs,xgboost,0,0.02,76.21818181818182,99.99990909090909
1,higgs,xgboost,1,0.02,76.2699090909091,100.0
1,higgs,ftt,1,0.02,79.53263636363637,99.99995454545456
1,higgs,ftt,0,0.02,79.39922727272727,100.0
0,higgs,ftt,1,0.02,79.42063636363636,99.99986363636364
0,higgs,ftt,0,0.02,79.41245454545455,99.90904545454545
1,higgs,tabnet,0,0.02,77.77377272727273,96.0404090909091
1,higgs,tabnet,1,0.02,78.10231818181819,99.99840909090909
0,higgs,tabnet,0,0.02,77.82663636363635,96.09463636363637
0,higgs,tabnet,1,0.02,77.82127272727273,99.98945454545455
1,higgs,saint,0,0.02,79.639404,99.99954
1,higgs,saint,1,0.02,79.66054,91.96122
0,higgs,saint,0,0.02,79.56445,99.90241
0,higgs,saint,1,0.02,79.701546,95.29695
